frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"13458","Jul  4, 2024 10:45:14.027491734 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13459","Jul  4, 2024 10:45:14.027492634 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13460","Jul  4, 2024 10:45:14.027492634 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13461","Jul  4, 2024 10:45:14.027556434 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13462","Jul  4, 2024 10:45:14.027583934 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13463","Jul  4, 2024 10:45:14.028020138 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13464","Jul  4, 2024 10:45:14.033302977 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13465","Jul  4, 2024 10:45:14.033303577 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13466","Jul  4, 2024 10:45:14.033303677 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13467","Jul  4, 2024 10:45:14.033361277 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13468","Jul  4, 2024 10:45:14.033378477 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13469","Jul  4, 2024 10:45:14.034015082 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13470","Jul  4, 2024 10:45:14.034045882 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13471","Jul  4, 2024 10:45:14.039406622 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13472","Jul  4, 2024 10:45:14.039407322 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13473","Jul  4, 2024 10:45:14.039407322 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13474","Jul  4, 2024 10:45:14.039466522 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13475","Jul  4, 2024 10:45:14.039494923 CEST","172.24.204.146","10.22.255.154","6","1500","1514"
"13476","Jul  4, 2024 10:45:14.039618724 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"13477","Jul  4, 2024 10:45:14.045038664 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13478","Jul  4, 2024 10:45:14.045039164 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13479","Jul  4, 2024 10:45:14.045039264 CEST","10.22.255.154","172.24.204.146","6","52","66"
"13480","Jul  4, 2024 10:45:14.045039264 CEST","10.22.255.154","172.24.204.146","6","52","66"
