frame.number,frame.time,ip.src,ip.dst,ip.proto,ip.len,frame.len
"5471","Jul  4, 2024 10:46:37.409979836 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5472","Jul  4, 2024 10:46:37.410200036 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5473","Jul  4, 2024 10:46:37.410206236 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5474","Jul  4, 2024 10:46:37.410434036 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5475","Jul  4, 2024 10:46:37.410438736 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5476","Jul  4, 2024 10:46:37.410584936 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5477","Jul  4, 2024 10:46:37.410589836 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5478","Jul  4, 2024 10:46:37.410719736 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5479","Jul  4, 2024 10:46:37.410745536 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5480","Jul  4, 2024 10:46:37.410928536 CEST","172.24.204.146","10.22.255.154","6","1500","1514"
"5481","Jul  4, 2024 10:46:37.410952536 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5482","Jul  4, 2024 10:46:37.410954936 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5483","Jul  4, 2024 10:46:37.411116536 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5484","Jul  4, 2024 10:46:37.424014837 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5485","Jul  4, 2024 10:46:37.424023137 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5486","Jul  4, 2024 10:46:37.424027237 CEST","172.24.204.146","10.22.255.154","6","1500","1514"
"5487","Jul  4, 2024 10:46:37.429785238 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5488","Jul  4, 2024 10:46:37.429785338 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5489","Jul  4, 2024 10:46:37.429785338 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5490","Jul  4, 2024 10:46:37.429785338 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5491","Jul  4, 2024 10:46:37.429794738 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5492","Jul  4, 2024 10:46:37.429799938 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5493","Jul  4, 2024 10:46:37.430016838 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5494","Jul  4, 2024 10:46:37.430022038 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5495","Jul  4, 2024 10:46:37.435886439 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5496","Jul  4, 2024 10:46:37.435886539 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5497","Jul  4, 2024 10:46:37.435886539 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5498","Jul  4, 2024 10:46:37.435893539 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5499","Jul  4, 2024 10:46:37.435898239 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5500","Jul  4, 2024 10:46:37.436100039 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5501","Jul  4, 2024 10:46:37.441874439 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5502","Jul  4, 2024 10:46:37.441874439 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5503","Jul  4, 2024 10:46:37.441874539 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5504","Jul  4, 2024 10:46:37.441874539 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5505","Jul  4, 2024 10:46:37.441882639 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5506","Jul  4, 2024 10:46:37.441886739 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5507","Jul  4, 2024 10:46:37.442093539 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5508","Jul  4, 2024 10:46:37.442100139 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5509","Jul  4, 2024 10:46:37.447803540 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5510","Jul  4, 2024 10:46:37.447803640 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5511","Jul  4, 2024 10:46:37.447803640 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5512","Jul  4, 2024 10:46:37.447831440 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5513","Jul  4, 2024 10:46:37.447876240 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5514","Jul  4, 2024 10:46:37.448005840 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5515","Jul  4, 2024 10:46:37.453842141 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5516","Jul  4, 2024 10:46:37.453842341 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5517","Jul  4, 2024 10:46:37.453842341 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5518","Jul  4, 2024 10:46:37.453873841 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5519","Jul  4, 2024 10:46:37.453879941 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5520","Jul  4, 2024 10:46:37.454096041 CEST","172.24.204.146","10.22.255.154","6","804","818"
"5521","Jul  4, 2024 10:46:37.459802842 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5522","Jul  4, 2024 10:46:37.459802942 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5523","Jul  4, 2024 10:46:37.459802942 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5524","Jul  4, 2024 10:46:37.459803042 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5525","Jul  4, 2024 10:46:37.459803042 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5526","Jul  4, 2024 10:46:37.459803042 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5527","Jul  4, 2024 10:46:37.465907542 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5528","Jul  4, 2024 10:46:37.465907642 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5529","Jul  4, 2024 10:46:37.465907642 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5530","Jul  4, 2024 10:46:37.471895443 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5531","Jul  4, 2024 10:46:37.471895543 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5532","Jul  4, 2024 10:46:37.471895543 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5533","Jul  4, 2024 10:46:37.471895543 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5534","Jul  4, 2024 10:46:37.477737444 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5535","Jul  4, 2024 10:46:37.477737544 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5536","Jul  4, 2024 10:46:37.477737544 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5537","Jul  4, 2024 10:46:37.483845344 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5538","Jul  4, 2024 10:46:37.483845444 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5539","Jul  4, 2024 10:46:37.483845544 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5540","Jul  4, 2024 10:46:37.489829245 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5541","Jul  4, 2024 10:46:37.489829445 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5542","Jul  4, 2024 10:46:37.489829445 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5543","Jul  4, 2024 10:46:37.489829445 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5544","Jul  4, 2024 10:46:37.489829545 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5545","Jul  4, 2024 10:46:37.489829545 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5546","Jul  4, 2024 10:46:37.495868046 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5547","Jul  4, 2024 10:46:37.495868146 CEST","10.22.255.154","172.24.204.146","6","52","66"
"5548","Jul  4, 2024 10:46:37.513665848 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5549","Jul  4, 2024 10:46:37.513675248 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5550","Jul  4, 2024 10:46:37.513959348 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5551","Jul  4, 2024 10:46:37.513969048 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5552","Jul  4, 2024 10:46:37.514184048 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5553","Jul  4, 2024 10:46:37.514193548 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5554","Jul  4, 2024 10:46:37.514461648 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5555","Jul  4, 2024 10:46:37.514472148 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5556","Jul  4, 2024 10:46:37.514664048 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5557","Jul  4, 2024 10:46:37.514674648 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5558","Jul  4, 2024 10:46:37.514927948 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5559","Jul  4, 2024 10:46:37.514937148 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5560","Jul  4, 2024 10:46:37.515073848 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5561","Jul  4, 2024 10:46:37.515081748 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5562","Jul  4, 2024 10:46:37.515205048 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5563","Jul  4, 2024 10:46:37.515216248 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5564","Jul  4, 2024 10:46:37.515406848 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5565","Jul  4, 2024 10:46:37.515417348 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5566","Jul  4, 2024 10:46:37.515595548 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5567","Jul  4, 2024 10:46:37.515603148 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5568","Jul  4, 2024 10:46:37.515782348 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5569","Jul  4, 2024 10:46:37.515793248 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
"5570","Jul  4, 2024 10:46:37.516025848 CEST","172.24.204.146","10.22.255.154","6","2948","2962"
